P1_001N,GEO_ID,state,county,tract,block group
906,1500000US170311613003,17,031,161300,3
1300,1500000US170311613004,17,031,161300,4
2034,1500000US170311701001,17,031,170100,1
1142,1500000US170311702003,17,031,170200,3
1114,1500000US170311702001,17,031,170200,1
1556,1500000US170311702002,17,031,170200,2
902,1500000US170311703003,17,031,170300,3
1499,1500000US170311703005,17,031,170300,5
797,1500000US170311703001,17,031,170300,1
968,1500000US170311703002,17,031,170300,2
1050,1500000US170311703004,17,031,170300,4
903,1500000US170311704001,17,031,170400,1
1041,1500000US170311704002,17,031,170400,2
1154,1500000US170311704003,17,031,170400,3
1043,1500000US170311704004,17,031,170400,4
1712,1500000US170311705001,17,031,170500,1
738,1500000US170311705002,17,031,170500,2
1433,1500000US170311705003,17,031,170500,3
1433,1500000US170311705004,17,031,170500,4
954,1500000US170311706001,17,031,170600,1
1597,1500000US170311706002,17,031,170600,2
1021,1500000US170311707001,17,031,170700,1
925,1500000US170311707002,17,031,170700,2
1122,1500000US170311707003,17,031,170700,3
1238,1500000US170311708001,17,031,170800,1
1227,1500000US170311708002,17,031,170800,2
1334,1500000US170311708003,17,031,170800,3
1662,1500000US170311709001,17,031,170900,1
909,1500000US170311710003,17,031,171000,3
1267,1500000US170311710006,17,031,171000,6
1345,1500000US170311710001,17,031,171000,1
1416,1500000US170311710002,17,031,171000,2
1158,1500000US170311710004,17,031,171000,4
1218,1500000US170311710005,17,031,171000,5
1216,1500000US170311711003,17,031,171100,3
1336,1500000US170311711001,17,031,171100,1
1683,1500000US170311711002,17,031,171100,2
1464,1500000US170311801002,17,031,180100,2
1472,1500000US170311801005,17,031,180100,5
1074,1500000US170311801001,17,031,180100,1
1412,1500000US170311801003,17,031,180100,3
1234,1500000US170311801004,17,031,180100,4
2325,1500000US170311901001,17,031,190100,1
